Dataset,Evaluation type,Method,Alpha,Beta,Width,Bin size,Curve,Evaluation Value,Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-K562,Differential expression,log(Fold enrichment +1),NA,NA,NA,NA,NA,0.39568784,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC-K562,Differential expression,log(Fold enrichment +1),NA,NA,NA,NA,NA,0.20129896,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-H1hESC,Differential expression,asinh(P-value),NA,NA,NA,NA,NA,0.384541462,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-HUVEC,Differential expression,asinh(P-value),NA,NA,NA,NA,NA,0.155315798,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-K562,Differential expression,asinh(P-value),NA,NA,NA,NA,NA,0.361323763,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-HUVEC,Differential expression,asinh(P-value),NA,NA,NA,NA,NA,0.102392222,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-K562,Differential expression,asinh(P-value),NA,NA,NA,NA,NA,0.39105179,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC-K562,Differential expression,asinh(P-value),NA,NA,NA,NA,NA,0.154848299,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-H1hESC,Differential expression,asinh(Fold enrichment),NA,NA,NA,NA,NA,0.42399611,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-HUVEC,Differential expression,asinh(Fold enrichment),NA,NA,NA,NA,NA,0.29836514,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-K562,Differential expression,asinh(Fold enrichment),NA,NA,NA,NA,NA,0.34717999,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-HUVEC,Differential expression,asinh(Fold enrichment),NA,NA,NA,NA,NA,0.24121694,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-K562,Differential expression,asinh(Fold enrichment),NA,NA,NA,NA,NA,0.38568784,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC-K562,Differential expression,asinh(Fold enrichment),NA,NA,NA,NA,NA,0.19498794,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
